City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
253,Luanda,AO,-8.8368,13.2343,76.3,92,100,6.55,moderate rain
254,Abu Dhabi,AE,24.4667,54.3667,72.97,65,20,2.3,few clouds
255,Olutanga,PH,7.3106,122.8464,82.53,78,100,1.39,overcast clouds
256,Balabac,PH,7.9868,117.0645,82.33,80,100,12.35,moderate rain
257,Sola,VU,-13.8833,167.55,78.91,86,100,13.2,overcast clouds
258,Yanliang,CN,34.6592,109.2292,45.72,30,78,2.62,broken clouds
259,Salihorsk,BY,52.7876,27.5415,37.44,98,100,3.78,overcast clouds
260,Kruisfontein,ZA,-34.0033,24.7314,63.88,71,92,2.01,overcast clouds
261,Koungou,YT,-12.7336,45.2042,82.11,74,75,13.8,broken clouds
262,Teguldet,RU,57.3064,88.1667,11.68,94,100,6.49,overcast clouds
263,Charters Towers,AU,-20.1,146.2667,95.83,26,43,3.58,light rain
264,Pisco,PE,-13.7,-76.2167,64.45,88,0,10.36,clear sky
265,Loreto,MX,22.2667,-101.9667,55.47,47,43,9.6,scattered clouds
266,Chiang Klang,TH,19.2938,100.8617,77.43,62,86,2.06,overcast clouds
267,Mormugao,IN,15.4,73.8,80.55,65,15,9.26,few clouds
268,Sabzevar,IR,36.2126,57.6819,43.68,52,0,3.42,clear sky
269,Hasaki,JP,35.7333,140.8333,61.2,60,55,19.57,broken clouds
270,Basco,PH,20.4487,121.9702,76.84,62,90,20.98,overcast clouds
271,Cidreira,BR,-30.1811,-50.2056,67.17,83,74,6.46,broken clouds
272,Ziarat,PK,30.3823,67.7282,41.38,14,31,2.06,scattered clouds
273,Viedma,AR,-40.8135,-62.9967,69.91,35,100,4.59,overcast clouds
274,Port Hedland,AU,-20.3167,118.5667,95.05,63,3,14.97,clear sky
275,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,89,100,16.71,overcast clouds
276,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.78,96,100,2.93,overcast clouds
277,Lorengau,PG,-2.0226,147.2712,85.59,77,100,15.1,overcast clouds
278,Filingue,NE,14.3521,3.3168,71.51,18,68,9.71,broken clouds
279,Shimoda,JP,34.6667,138.95,63.1,59,2,17.76,clear sky
280,Klaksvik,FO,62.2266,-6.589,45.52,80,86,27.54,overcast clouds
281,Broome,US,42.2506,-75.833,42.84,66,90,7.0,overcast clouds
282,Mersing,MY,2.4312,103.8405,80.98,83,96,12.37,light rain
283,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,96,100,4.83,moderate rain
284,Meulaboh,ID,4.1363,96.1285,84.85,68,11,2.15,few clouds
285,Letychiv,UA,49.3826,27.6305,40.42,94,100,10.02,overcast clouds
286,Uberaba,BR,-19.7483,-47.9319,73.06,70,78,4.5,broken clouds
287,Escanaba,US,45.7453,-87.0646,30.51,82,1,12.66,clear sky
288,Katima Mulilo,NA,-17.5,24.2667,74.77,59,81,3.42,broken clouds
289,Nimaparha,IN,20.0667,86.0167,75.27,62,8,8.43,clear sky
290,Maniitsoq,GL,65.4167,-52.9,20.97,87,95,10.94,light snow
